,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,a,g,m,isRoll,isPick,isDrop,isNone,isRoll_p,isGrasp_p,isDrop_p,isNone_p
0,0.3606181537024947,-0.28179049238227566,-0.03462619306875139,0.14914868183659535,-0.23431714918061222,0.15958701228546573,0.5321649477508519,0.7394669763013524,-0.3118504542047572,0.4589665646148228,0.32034024127588034,0.9629442592479516,0,0,0,1,1.0,8.318008e-09,4.231996e-28,3.025743e-19
1,0.3540889488270888,-0.28527362695037134,-0.0513907293574475,0.09752828150735589,-0.28531436560245643,0.3033347669246356,0.5285753022348259,0.7372234478538361,-0.30287634041469225,0.45760357614969205,0.4277008694602154,0.95635994268693,0,0,0,1,1.0,1.776412e-09,2.370868e-27,1.206394e-18
2,0.3588788163381448,-0.2841854261378037,-0.0540041952433682,0.05951406315624593,-0.3027115830172404,0.4084970512975833,0.5330623591298583,0.7417105047488686,-0.30960692575724097,0.4609466503535315,0.5119043535053922,0.9644409780992635,0,0,0,1,1.0,8.3535534e-10,1.1008425e-25,4.1637073e-17
3,0.37847535064315424,-0.24890809651727,0.0017437972037457235,-0.2051833015098845,-0.40657556758311464,0.4702441901219955,0.5330623591298583,0.7417105047488686,-0.30960692575724097,0.4529921329873587,0.6546246847783246,0.9644409780992635,0,0,0,1,1.0,2.7151397e-09,4.0504834e-26,4.1284396e-16
4,0.4213745457910574,-0.22321050191884836,-0.03680259469388672,-0.3280543952513137,-0.48291559623903213,0.49714496212455694,0.5353058875773746,0.7381208592328427,-0.30960692575724097,0.4782612957901294,0.7667987171728107,0.9629284731835206,0,0,0,1,1.0,2.9044772e-08,3.7727552e-28,7.426523e-16
5,0.447941809071654,-0.2308323674462178,-0.08884892044251227,-0.3552667592075727,-0.45030230508534763,0.5731733988267769,0.5393442387829039,0.7435053275068817,-0.30915822006773774,0.5116928539791331,0.8108726049831775,0.9691600409632877,0,0,0,1,0.99999976,2.2999089e-07,8.336908e-31,8.822442e-16
6,0.41636614614960865,-0.2809163638607049,-0.09450845663574328,-0.3014652152024499,-0.3473730963805663,0.5661625798685803,0.5393442387829039,0.7435053275068817,-0.30915822006773774,0.5110837696989974,0.7294445907960115,0.9691600409632877,0,0,0,1,0.9999995,5.2877897e-07,7.20912e-34,3.94585e-16
7,0.41680321041039403,-0.30094996242649974,-0.08231525572771052,-0.21598515590473544,-0.2777322947291476,0.48385037210012505,0.5393442387829039,0.7435053275068817,-0.30915822006773774,0.5206453661083029,0.5982440952110865,0.9691600409632877,0,0,0,1,0.9999982,1.8378436e-06,1.7466365e-37,4.422136e-17
8,0.40787461194006425,-0.30487016125538086,-0.07708832395586912,-0.12255950178773158,-0.25363585030986485,0.2818349221194997,0.5348571818878715,0.7479923844019142,-0.30467116317270526,0.5150243914704234,0.3984757199461271,0.9687049756184786,0,0,0,1,0.99997413,2.5889298e-05,0.0,3.6857167e-19
9,0.3887106820564444,-0.32033242444051235,-0.06924792629810703,-0.10417557651957184,-0.24257433595359923,0.26693044033429675,0.5344084761983682,0.7497872071599271,-0.3019789290356858,0.5084330159878565,0.37542871385131843,0.9690018312259516,0,0,0,1,0.9998512,0.00014879706,0.0,1.3104758e-21
