,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,a,g,m,isRoll,isPick,isDrop,isNone,isRoll_p,isGrasp_p,isDrop_p,isNone_p
3531,-0.007840398,-0.425950341,-0.167025445,0.007270479,-0.004102627,0.001921484,0.505691312,0.791068131,-0.287171641,0.457594432,0.008566418,0.981824853,0,0,0,1,0.99999976,2.86E-07,2.84E-28,1.84E-18
3532,-0.005878068,-0.422899811,-0.155701913,0.006335703,0.003167852,0.01173663,0.513768014,0.793311659,-0.291658698,0.450690456,0.013708571,0.989123732,0,0,0,1,0.99999976,2.57E-07,3.05E-28,1.76E-18
3533,-0.004138731,-0.42181161,-0.160928845,0.000311592,0.000934776,0.008257187,0.513319309,0.79420907,-0.290761287,0.451486718,0.00831577,0.989346697,0,0,0,1,0.99999976,2.71E-07,3.14E-28,1.96E-18
3534,-0.009147131,-0.428126743,-0.158533911,0.003791035,-0.00155796,0.008568779,0.507037429,0.792414248,-0.284928113,0.456628053,0.009498587,0.982950316,0,0,0,1,0.99999976,2.60E-07,3.02E-28,1.93E-18
3535,-0.009365663,-0.428782339,-0.164849044,-0.004725811,0.000623184,0.005400927,0.505691312,0.787478485,-0.278197527,0.459474936,0.007203587,0.97634007,0,0,0,1,0.99999976,2.63E-07,2.85E-28,1.97E-18
3536,-0.004789868,-0.431395805,-0.163760843,0.011061514,-0.003791035,0.007270479,0.502999078,0.790619425,-0.282235879,0.461457362,0.013769129,0.978644082,0,0,0,1,0.99999976,2.33E-07,3.26E-28,1.89E-18
3537,-0.001306733,-0.421160474,-0.15940358,0.005400927,0.002544668,-0.010126738,0.502999078,0.797798716,-0.286722936,0.450319168,0.011755687,0.985748906,0,0,0,1,0.99999976,1.96E-07,2.80E-28,1.44E-18
3538,-0.008491534,-0.423555407,-0.160277708,0.003479443,-0.00285626,0.000311592,0.506588723,0.795106482,-0.288517758,0.45294617,0.004512409,0.985935571,0,0,0,1,0.99999976,2.11E-07,2.85E-28,1.50E-18
3539,-0.007184801,-0.426168873,-0.16245411,0.012982998,0.005400927,-0.000934776,0.506588723,0.795106482,-0.288517758,0.456139088,0.014092624,0.985935571,0,0,0,1,0.99999976,1.95E-07,3.01E-28,1.40E-18
3540,-0.007184801,-0.428126743,-0.163542311,0.007582071,-0.004102627,-0.006024111,0.499858138,0.792862953,-0.289863875,0.458355993,0.010517094,0.981076392,0,0,0,1,0.99999976,1.84E-07,2.82E-28,1.16E-18
3541,-0.007840398,-0.425731809,-0.158315379,-0.001246368,0.005089335,-0.006647295,0.505691312,0.796003893,-0.283581996,0.454282736,0.008464118,0.984766292,0,0,0,1,0.9999999,1.72E-07,2.27E-28,9.05E-19
3542,-0.008491534,-0.423988012,-0.156571582,0.004725811,-0.005089335,0,0.505242606,0.79420907,-0.289863875,0.452053758,0.006945115,0.984915837,0,0,0,1,0.9999999,1.74E-07,2.56E-28,9.48E-19
3543,-0.004789868,-0.429214943,-0.161798513,0.002544668,-0.013606182,0,0.509280958,0.796901305,-0.291658698,0.458723413,0.013842092,0.989688627,0,0,0,1,0.99999976,1.97E-07,2.90E-28,1.11E-18
3544,-0.005663996,-0.420941941,-0.156357509,0.006958887,0.009503555,0.006647295,0.504345195,0.789273308,-0.288517758,0.449078912,0.013525169,0.980081082,0,0,0,1,0.99999976,1.92E-07,2.95E-28,1.14E-18
3545,-0.010016799,-0.425294745,-0.162886714,0.01043833,-0.003479443,0.003791035,0.501204255,0.796901305,-0.285825524,0.455530501,0.01163775,0.983846342,0,0,0,1,0.99999976,2.02E-07,3.23E-28,1.29E-18
3546,-0.003264602,-0.422681279,-0.166374309,0.002544668,0.010126738,-0.005400927,0.501204255,0.796901305,-0.285825524,0.454258221,0.011755687,0.983846342,0,0,0,1,0.99999976,1.92E-07,3.18E-28,1.29E-18
3547,-0.003701667,-0.425080672,-0.158970975,-0.008257187,-0.000623184,0,0.507486135,0.797798716,-0.285376819,0.45384915,0.00828067,0.987656264,0,0,0,1,0.99999976,1.87E-07,2.98E-28,1.21E-18
3548,-0.003483135,-0.427475606,-0.161147377,0.007582071,-0.004725811,0.007893663,0.509280958,0.794657776,-0.284928113,0.456854466,0.011921871,0.985916885,0,0,0,1,0.99999976,2.02E-07,3.45E-28,1.39E-18
3549,-0.004357263,-0.424425076,-0.16049178,0.008568779,0.001921484,-0.004725811,0.509280958,0.794657776,-0.284928113,0.453776644,0.00997243,0.985916885,0,0,0,1,0.99999976,1.96E-07,3.33E-28,1.32E-18
3550,-0.005445464,-0.425950341,-0.159185048,0.018072333,-0.009191963,-0.01173663,0.505691312,0.792414248,-0.288069053,0.454756226,0.023427546,0.983172326,0,0,0,1,0.9999999,1.54E-07,2.78E-28,1.03E-18
3551,-0.006752197,-0.426382945,-0.161147377,0.007893663,-0.007893663,-0.008880371,0.505691312,0.792414248,-0.288069053,0.455868935,0.01426467,0.983172326,0,0,0,1,0.9999999,1.37E-07,2.43E-28,8.85E-19
3552,-0.006752197,-0.427257074,-0.16049178,-0.000623184,-0.007270479,-0.002544668,0.505691312,0.792414248,-0.288069053,0.456455705,0.007728102,0.983172326,0,0,0,1,0.9999999,1.48E-07,2.42E-28,9.30E-19
3553,-0.006752197,-0.427257074,-0.16245411,0,0.008257187,-0.005089335,0.502999078,0.797798716,-0.286722936,0.45714936,0.009699612,0.985748906,0,0,0,1,0.9999999,1.58E-07,2.24E-28,9.23E-19
3554,-0.002613466,-0.42682001,-0.155264849,0.008880371,-0.005089335,0.00155796,0.499409432,0.787478485,-0.284928113,0.454190845,0.010353239,0.975046755,0,0,0,1,0.9999999,1.60E-07,2.41E-28,9.92E-19
3555,-0.006533665,-0.427908211,-0.162235578,-0.00285626,0.009503555,0.006958887,0.503447784,0.786581074,-0.282684584,0.457677297,0.012120308,0.975745884,0,0,0,1,0.9999999,1.78E-07,2.20E-28,1.04E-18
3556,-0.011323532,-0.42181161,-0.159840644,0.007270479,0.000623184,-0.003167852,0.499858138,0.789273308,-0.284479407,0.451223102,0.007955093,0.976595641,0,0,0,1,0.9999999,1.72E-07,2.13E-28,1.09E-18
3557,-0.00805893,-0.424643608,-0.163105246,0.007582071,0.005712519,-0.002233076,0.504793901,0.791068131,-0.282684584,0.454962044,0.009752297,0.980059306,0,0,0,1,0.9999999,1.75E-07,2.09E-28,1.03E-18
3558,-0.004138731,-0.425294745,-0.163323779,0.006958887,0.005089335,-0.008257187,0.504793901,0.791068131,-0.282684584,0.45559566,0.011937696,0.980059306,0,0,0,1,0.9999999,1.70E-07,2.00E-28,9.39E-19
3559,-0.008928598,-0.423118343,-0.162017046,0.003167852,0.006958887,-0.005089335,0.502999078,0.798696127,-0.288517758,0.453164843,0.009184918,0.986998517,0,0,0,1,0.9999999,1.65E-07,2.05E-28,9.47E-19
3560,-0.006752197,-0.422248674,-0.165067576,0.007270479,-0.004102627,-0.009503555,0.511973192,0.792862953,-0.290761287,0.45341685,0.012649465,0.98756789,0,0,0,1,0.9999999,1.63E-07,2.15E-28,1.07E-18
3561,-0.014588135,-0.430089072,-0.158096847,-0.005089335,-0.001246368,0.000934776,0.511973192,0.792862953,-0.290761287,0.458458326,0.005322459,0.98756789,0,0,0,1,0.99999976,2.03E-07,2.16E-28,1.29E-18
3562,-0.015025199,-0.427689678,-0.166592841,-0.000311592,0.002233076,-0.002544668,0.506588723,0.792862953,-0.286722936,0.459235661,0.00339986,0.98360248,0,0,0,1,0.99999976,2.60E-07,2.37E-28,1.74E-18
3563,-0.010235331,-0.425513277,-0.162017046,0.00155796,0,0.008568779,0.511973192,0.792862953,-0.290761287,0.455429285,0.00870926,0.98756789,0,0,0,1,0.99999976,2.84E-07,2.85E-28,2.18E-18
3564,-0.011323532,-0.425294745,-0.162886714,0.012359814,-0.007582071,0.007893663,0.511973192,0.792862953,-0.290761287,0.455561109,0.016509474,0.98756789,0,0,0,1,0.99999976,2.81E-07,3.44E-28,2.65E-18
3565,-0.005226932,-0.422467206,-0.156790114,0.001246368,0,0.000311592,0.508832252,0.792862953,-0.286722936,0.45065397,0.001284727,0.984759852,0,0,0,1,0.99999976,2.35E-07,2.69E-28,2.05E-18
3566,-0.005878068,-0.430303144,-0.159840644,0.002233076,-0.007893663,0,0.502550372,0.792414248,-0.284928113,0.459069035,0.008203447,0.980643282,0,0,0,1,0.99999976,1.96E-07,2.32E-28,1.70E-18
3567,-0.001743797,-0.427475606,-0.161798513,0.006335703,0.003167852,0.003167852,0.505691312,0.791068131,-0.283581996,0.457074604,0.00775962,0.980780933,0,0,0,1,0.99999976,1.82E-07,2.11E-28,1.34E-18
3568,-0.006752197,-0.419198144,-0.162235578,0.012671406,0.001246368,0.00285626,0.505691312,0.794657776,-0.284928113,0.449547616,0.013048992,0.984067433,0,0,0,1,0.99999976,1.88E-07,2.03E-28,1.31E-18
3569,-0.009147131,-0.42987054,-0.161579981,0.006647295,0.000934776,0.009815147,0.502101667,0.792862953,-0.282235879,0.459326073,0.011891065,0.979997366,0,0,0,1,0.99999976,1.87E-07,2.19E-28,1.44E-18
3570,-0.00805893,-0.428563807,-0.162235578,0.005089335,0.007582071,-0.00155796,0.507486135,0.79420907,-0.286722936,0.458314592,0.009263713,0.98514987,0,0,0,1,0.9999999,1.61E-07,1.83E-28,1.16E-18
3571,-0.0060966,-0.429433476,-0.159840644,0,-0.007270479,0.01173663,0.507486135,0.79420907,-0.286722936,0.458256816,0.013806098,0.98514987,0,0,0,1,0.9999999,1.57E-07,1.78E-28,1.04E-18
3572,-0.0050084,-0.425080672,-0.169638911,0.008257187,-0.002233076,-0.014540958,0.504793901,0.791068131,-0.287171641,0.457707354,0.016870306,0.98136294,0,0,0,1,0.9999999,1.76E-07,1.81E-28,1.16E-18
3573,-0.009579735,-0.426382945,-0.158096847,0.013917774,0.003791035,0.012048222,0.503447784,0.792414248,-0.281787173,0.454850305,0.018794575,0.98019591,0,0,0,1,0.9999999,1.71E-07,2.09E-28,1.39E-18
3574,-0.006315133,-0.423988012,-0.167243977,0.000311592,0.006958887,0.015216074,0.503447784,0.792414248,-0.281787173,0.455824816,0.016734757,0.98019591,0,0,0,1,0.99999976,1.96E-07,2.37E-28,1.62E-18
3575,-0.012411733,-0.425731809,-0.15744571,0.01173663,-0.006958887,-0.01043833,0.502999078,0.790619425,-0.288517758,0.454082345,0.017179445,0.980474194,0,0,0,1,0.99999976,1.82E-07,1.99E-28,1.46E-18
3576,-0.010672396,-0.429652008,-0.157878315,0.004414219,0.000623184,0.003479443,0.505691312,0.793311659,-0.290312581,0.457864947,0.005655105,0.984554969,0,0,0,1,0.9999999,1.53E-07,1.82E-28,1.15E-18
3577,-0.008710066,-0.423773939,-0.158533911,0.008257187,-0.014229366,0.012048222,0.489537907,0.787029779,-0.275505293,0.452540847,0.020391558,0.966936608,0,0,0,1,0.9999999,1.67E-07,2.10E-28,1.35E-18
3578,-0.00305053,-0.424425076,-0.15940358,0.012359814,-0.01173663,-0.009815147,0.504793901,0.796003893,-0.285825524,0.453382236,0.019668518,0.984954471,0,0,0,1,0.9999999,1.60E-07,1.96E-28,1.13E-18
3579,-0.008710066,-0.426168873,-0.162235578,-0.003167852,0.001246368,0.000311592,0.505691312,0.796003893,-0.284928113,0.456087882,0.003418451,0.985154775,0,0,0,1,0.9999999,1.78E-07,2.09E-28,1.27E-18
3580,-0.007403333,-0.424643608,-0.156357509,0.007893663,-0.003167852,0.00155796,0.506588723,0.796452599,-0.282235879,0.4525756,0.008647106,0.985203516,0,0,0,1,0.99999976,1.96E-07,2.49E-28,1.48E-18
3581,-0.007403333,-0.425731809,-0.163760843,0.009503555,-0.008568779,0.013606182,0.507037429,0.793311659,-0.287171641,0.456201705,0.018678054,0.984326112,0,0,0,1,0.99999976,2.21E-07,3.41E-28,1.97E-18
3582,-0.006533665,-0.422030142,-0.157008646,0.008568779,-0.001246368,0.003791035,0.502550372,0.792414248,-0.288069053,0.450337479,0.009452479,0.98156049,0,0,0,1,0.99999976,2.08E-07,3.19E-28,1.72E-18
3583,-0.003920199,-0.427689678,-0.159840644,-0.008880371,0.011425038,0.011061514,0.502550372,0.794657776,-0.285825524,0.456599234,0.018213994,0.982717705,0,0,0,1,0.99999976,2.08E-07,2.69E-28,1.42E-18
3584,-0.006533665,-0.424206544,-0.158970975,-0.004725811,0.002544668,-0.004102627,0.502550372,0.794657776,-0.285825524,0.453062525,0.006755751,0.982717705,0,0,0,1,0.99999976,2.25E-07,2.51E-28,1.49E-18
3585,-0.005663996,-0.422030142,-0.160928845,-0.003167852,-0.018383925,-0.009191963,0.505691312,0.796901305,-0.28941517,0.451707444,0.020796542,0.987186169,0,0,0,1,0.99999976,2.83E-07,2.80E-28,1.98E-18
3586,-0.009579735,-0.423988012,-0.158315379,0.000623184,-0.013606182,0.015527666,0.499409432,0.790170719,-0.283581996,0.45268241,0.020654901,0.97683074,0,0,0,1,0.99999964,3.73E-07,3.60E-28,2.86E-18
3587,-0.003701667,-0.429214943,-0.163105246,0.031366923,-0.011061514,0,0.499409432,0.790170719,-0.283581996,0.459175883,0.033260201,0.97683074,0,0,0,1,0.99999964,3.11E-07,4.48E-28,2.96E-18
3588,-0.009147131,-0.423336875,-0.16049178,0.003479443,-0.001246368,0.010126738,0.500306844,0.793311659,-0.281787173,0.452830422,0.010780111,0.979313197,0,0,0,1,0.99999976,2.51E-07,4.17E-28,2.38E-18
3589,-0.008273002,-0.425080672,-0.163323779,0,-0.005400927,0.020876661,0.505691312,0.793311659,-0.28941517,0.455452168,0.021563974,0.984290725,0,0,0,1,0.99999976,2.41E-07,4.00E-28,2.23E-18
3590,-0.007840398,-0.42486214,-0.162235578,-0.00285626,-0.008880371,-0.005089335,0.499858138,0.790619425,-0.286722936,0.454851286,0.010626407,0.978339039,0,0,0,1,0.99999976,2.60E-07,3.50E-28,2.07E-18
3591,-0.004138731,-0.425950341,-0.158752443,0.011061514,0.001246368,-0.009503555,0.506588723,0.795106482,-0.285376819,0.454591201,0.014636532,0.985021005,0,0,0,1,0.99999976,2.39E-07,3.37E-28,1.75E-18
3592,-0.011105,-0.428126743,-0.164630511,0.012048222,0.01043833,-0.001246368,0.505691312,0.788824602,-0.287171641,0.458823533,0.015989742,0.980018116,0,0,0,1,0.99999976,2.30E-07,3.43E-28,1.67E-18
3593,-0.012848797,-0.420504877,-0.162672642,-0.003479443,-0.002233076,-0.008568779,0.505691312,0.788824602,-0.287171641,0.451056351,0.009514049,0.980018116,0,0,0,1,0.99999976,2.61E-07,3.61E-28,1.88E-18
3594,-0.006970729,-0.427038542,-0.160059176,0.004102627,-0.004102627,0.011425038,0.505242606,0.791965542,-0.286722936,0.456102453,0.012813844,0.982186109,0,0,0,1,0.99999976,2.37E-07,4.08E-28,1.99E-18
3595,-0.007403333,-0.423988012,-0.167681042,0.009815147,-0.013606182,-0.002233076,0.508832252,0.788375896,-0.28313329,0.456001727,0.01692489,0.980107787,0,0,0,1,0.99999976,2.53E-07,4.97E-28,2.40E-18
3596,-0.006315133,-0.424425076,-0.168113646,0.019318701,-0.000311592,-0.003479443,0.508832252,0.788375896,-0.28313329,0.4565509,0.01963201,0.980107787,0,0,0,1,0.99999976,2.30E-07,5.39E-28,2.39E-18
3597,-0.003920199,-0.420723409,-0.158096847,0.000934776,-0.003167852,-0.001921484,0.505691312,0.791068131,-0.288069053,0.449464312,0.00382115,0.98208771,0,0,0,1,0.99999976,2.09E-07,4.83E-28,2.09E-18
3598,-0.004571335,-0.430958741,-0.164411979,0.016774034,-0.004414219,0.000311592,0.510178369,0.794657776,-0.287171641,0.461278259,0.017347928,0.987031155,0,0,0,1,0.9999999,1.74E-07,4.86E-28,1.88E-18
3599,-0.007840398,-0.431609877,-0.162672642,0.006335703,0.000623184,0.000311592,0.506588723,0.789273308,-0.289863875,0.461314368,0.006373898,0.981634125,0,0,0,1,0.9999999,1.48E-07,4.07E-28,1.50E-18
