aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,a,g,m,isRoll,isPick,isDrop,isNone
-30.76,433.11,-899.9,2.44,0.24,0.37,144.75,219.6,-68.55,999.1748894,2.479536247,271.8010762,1,0,0,0
-42.48,435.55,-914.06,0.43,-1.46,-0.79,145.05,218.4,-68.25,1013.41701,1.714817775,270.9171921,1,0,0,0
-43.95,425.29,-909.67,0.79,-0.49,1.4,142.8,219.6,-66.75,1005.138147,1.680535629,270.3175216,1,0,0,0
-36.62,425.78,-904.3,-0.85,1.71,-0.24,142.8,219.6,-66.75,1000.194043,1.924629835,270.3175216,1,0,0,0
-42.48,423.34,-909.18,0.67,-0.3,-1.28,144.9,218.55,-69.9,1003.807541,1.475567687,271.3781909,1,0,0,0
-43.95,437.99,-931.15,2.99,-0.18,0.73,143.55,218.7,-67.5,1029.954934,3.083082873,270.1713206,1,0,0,0
-45.41,428.22,-910.64,0.24,0.85,0.24,142.8,217.2,-68.55,1007.32301,0.915259526,268.8248175,1,0,0,0
-46.88,425.78,-909.18,0.43,0.24,-0.3,142.8,217.2,-68.55,1005.034634,0.57662813,268.8248175,1,0,0,0
-45.41,420.9,-898.93,-1.4,-1.4,-1.46,144.75,218.4,-67.8,993.626702,2.46,270.6436079,1,0,0,0
-27.34,435.06,-909.67,3.29,-1.83,2.07,143.7,218.25,-69.15,1008.72404,4.29626582,270.3044117,1,0,0,0
-44.43,434.57,-913.09,0.24,-1.28,-2.5,143.7,218.25,-69.15,1012.204751,2.81886502,270.3044117,1,0,0,0
-41.02,434.08,-916.02,0.98,-1.28,-0.24,144.15,218.55,-66.6,1014.495307,1.629846619,270.1460438,1,0,0,0
-59.57,433.11,-914.55,0.85,1.52,-1.1,141.6,218.25,-66.9,1013.673793,2.05983009,268.6247057,1,0,0,0
-43.46,429.2,-916.02,-1.46,0.85,-0.12,141.6,218.25,-66.9,1012.518667,1.693664666,268.6247057,1,0,0,0
-31.25,427.25,-910.64,0.79,-2.38,0.55,143.1,218.55,-68.7,1006.371867,2.567294296,270.1136844,1,0,0,0
-36.62,429.69,-902.83,1.71,-0.61,0.79,143.1,217.8,-67.95,1000.53812,1.979974747,269.3170112,1,0,0,0
-43.95,431.64,-917.97,1.34,1.34,-1.46,142.05,217.65,-66.75,1015.339162,2.392237446,268.3380098,1,0,0,0
-38.57,426.76,-915.53,1.34,-1.59,-1.16,142.5,218.4,-70.05,1010.844658,2.381029189,270.0218741,1,0,0,0
-46.39,433.59,-915.53,-0.3,0.18,0.37,142.5,218.4,-70.05,1014.074702,0.509215082,270.0218741,1,0,0,0
-40.04,430.66,-912.6,-1.34,-0.73,-2.5,142.35,218.55,-67.95,1009.905935,2.928907646,269.5270441,1,0,0,0
-49.8,430.18,-912.6,0.43,-0.06,-0.24,139.05,216,-63.75,1010.135453,0.49608467,264.6789848,1,0,0,0
-37.11,421.88,-908.69,3.41,-2.26,0.06,144.15,219.3,-69.15,1002.535487,4.091368964,271.3916635,1,0,0,0
-32.23,421.39,-911.13,-0.06,-3.41,0.18,144.15,219.3,-69.15,1004.373527,3.415274513,271.3916635,1,0,0,0
-36.13,429.2,-902.83,0.24,-0.37,-2.2,145.8,219.6,-69.6,1000.309965,2.24376915,272.6278783,1,0,0,0
-36.13,417.97,-901.86,2.74,0,2.74,143.25,218.4,-67.8,994.6636403,3.874945161,269.8443301,1,0,0,0
-55.18,426.76,-906.25,-1.16,0.91,0.43,141.9,220.5,-68.7,1003.2238,1.535773421,271.0637379,1,0,0,0
-47.85,421.39,-911.62,1.28,-0.55,0.24,142.5,218.7,-68.25,1005.440291,1.413683133,269.8036369,1,0,0,0
-50.78,414.55,-912.11,0.43,1.65,-0.61,141.75,218.4,-68.55,1003.182418,1.810938983,269.2410166,1,0,0,0
-34.18,428.71,-908.2,0.3,-1.46,2.68,144.15,218.55,-68.7,1004.881971,3.066594202,270.6714152,1,0,0,0
-48.83,424.32,-923.34,0.43,0.06,0.12,144.15,218.55,-68.7,1017.343888,0.450444225,270.6714152,1,0,0,0
-39.55,430.18,-908.69,0.91,-0.79,0.98,143.55,218.7,-70.35,1006.149368,1.553254648,270.8974252,1,0,0,0
-55.18,429.2,-912.6,0.73,3.6,-0.18,143.25,219.15,-68.25,1009.998135,3.677675897,270.5648675,1,0,0,0
-34.67,435.06,-915.04,2.68,-2.74,-0.85,142.5,219.6,-69.3,1013.793576,3.925875698,270.8004801,1,0,0,0
-39.55,431.64,-900.88,-1.16,-0.85,1.34,143.4,219,-68.7,999.7309971,1.96562967,270.6367492,1,0,0,0
-54.2,432.13,-903.32,0.85,1.16,0.79,143.55,219.15,-68.85,1002.826505,1.640792491,270.8757049,1,0,0,0
-21,433.59,-904.3,0.43,-2.44,-0.98,142.35,220.5,-69.15,1003.095099,2.6643761,271.4138814,1,0,0,0
-32.23,421.39,-905.76,0.37,-2.07,1.04,142.35,220.5,-69.15,999.5046186,2.34593265,271.4138814,1,0,0,0
-34.18,431.64,-904.3,0,0.3,-0.79,143.4,220.95,-67.95,1002.616503,0.845044378,272.0287944,1,0,0,0
-40.04,428.71,-908.69,1.22,2.13,1.04,144.15,218.25,-69.45,1005.541139,2.665876966,270.6207448,1,0,0,0
-38.09,426.76,-916.02,0.85,-0.91,1.46,144,219.9,-68.25,1011.270283,1.918905938,271.5696458,1,0,0,0
-47.36,427.73,-913.09,0.06,0.67,-0.12,143.7,219.75,-68.7,1009.420265,0.683300812,271.4027312,1,0,0,0
-34.67,431.64,-918.95,-1.16,-0.91,-0.3,142.8,218.7,-67.5,1015.866232,1.504559736,269.7735717,1,0,0,0
-27.83,430.18,-915.04,0.61,0.3,1.28,142.8,218.7,-67.5,1011.497673,1.449310181,269.7735717,1,0,0,0
-43.46,432.62,-912.6,1.65,0.3,-0.67,143.7,217.35,-66.9,1010.884561,1.805934661,269.0098929,1,0,0,0
-30.76,423.34,-922.36,1.16,-0.98,0.67,143.7,217.35,-66.9,1015.337827,1.659789143,269.0098929,1,0,0,0
-45.9,427.73,-912.11,0.91,-1.16,1.16,143.25,220.65,-67.05,1008.466368,1.875979744,271.4823889,1,0,0,0
-38.57,416.99,-912.11,-0.55,0,-0.79,142.35,219.3,-67.2,1003.649818,0.962600644,269.94787,1,0,0,0
-50.29,423.83,-903.81,0.91,-2.07,1.4,142.65,218.55,-68.7,999.5166177,2.659511233,269.8755547,1,0,0,0
-23.44,422.85,-911.62,0.37,-0.61,-2.93,145.5,219.6,-69.6,1005.187833,3.015609391,272.4675577,1,0,0,0
-39.06,432.13,-904.79,0.55,0.43,-1.04,145.5,219.6,-69.6,1003.44754,1.252597302,272.4675577,1,0,0,0
-23.93,431.15,-904.3,-1.22,0.18,2.01,143.4,218.55,-68.4,1002.108506,2.358156059,270.1966367,1,0,0,0
-35.16,436.52,-901.37,1.71,0.37,1.83,143.7,217.35,-70.65,1002.124649,2.531778031,269.9669146,1,0,0,0
-34.67,436.52,-905.76,-0.37,2.56,-1.71,144.3,220.35,-70.35,1006.058098,3.100741847,272.6274656,1,0,0,0
-47.36,436.04,-903.81,1.4,-1.89,-0.61,142.65,219.3,-69.15,1004.612546,2.429855963,270.5979213,1,0,0,0
-33.69,419.43,-917.97,3.17,-0.06,-0.67,144.9,219,-69.45,1009.814568,3.240586367,271.6253164,1,0,0,0
-28.81,421.39,-897.95,1.34,0.06,-0.49,142.5,218.4,-68.85,992.3274413,1.428040616,269.7130559,1,0,0,0
-39.55,427.25,-893.07,1.65,1.34,-1.89,143.7,217.8,-68.7,990.7980571,2.844327689,269.8262774,1,0,0,0
-37.11,438.48,-921.88,1.71,0.12,0.91,145.2,219.3,-67.65,1021.520728,1.940773042,271.5732912,1,0,0,0
-41.02,449.22,-918.46,1.95,-0.79,0.24,143.1,218.25,-69.45,1023.254621,2.117592973,270.0629093,1,0,0,0
-33.2,423.83,-916.02,0.67,-1.77,-1.71,145.05,219.15,-70.35,1009.864718,2.55066658,272.057618,1,0,0,0
-23.44,428.71,-910.64,2.5,-0.37,0.73,145.05,219.15,-69.3,1006.780466,2.630551273,271.7879964,1,0,0,0
-46.88,430.66,-919.92,0.55,1.59,0.55,145.5,218.7,-69.6,1016.817868,1.770056496,271.7427092,1,0,0,0
-49.8,435.06,-913.09,0.37,-1.34,0.37,145.5,218.7,-69.6,1012.665094,1.438540927,271.7427092,1,0,0,0
-34.18,421.88,-901.86,1.4,2.62,0.67,143.4,219.75,-69.9,996.2441801,3.045209352,271.5504235,0,1,0,0
-36.13,449.22,-905.76,3.23,-2.5,-0.24,142.65,219,-69.45,1011.68432,4.091515612,270.4317382,0,1,0,0
-37.6,425.29,-911.62,0.73,-1.04,0,143.4,219.75,-69.15,1006.646099,1.270629765,271.3583332,0,1,0,0
-38.57,433.11,-908.69,1.65,2.74,1.52,142.65,219,-68.7,1007.367576,3.541256839,270.2401016,0,1,0,0
-41.02,430.66,-903.81,1.04,-1.52,-2.13,143.7,219.3,-68.7,1002.009577,2.815830251,271.0385028,0,1,0,0
-36.62,437.99,-900.39,0,-0.3,0.55,144,219.15,-68.25,1001.937332,0.626498204,270.9627004,0,1,0,0
-37.11,432.13,-912.11,0.37,-0.06,1.04,144,219.15,-68.25,1009.979278,1.105486318,270.9627004,0,1,0,0
-46.39,438.96,-907.23,1.04,2.26,-1.28,144,219.6,-69.3,1008.912378,2.797784838,271.5928018,0,1,0,0
-41.5,426.27,-913.57,1.04,0.79,-1.59,142.8,217.95,-66,1008.978943,2.057619984,268.7936802,0,1,0,0
